sourceName,startDate,endDate,activityType,duration,durationUnit,duration,durationUnit ,totalEnergyBurned,HKWeatherHumidity,HKIndoorWorkout,HKWeatherTemperature,HKTimeZone,HKAverageMETs
Susan’s Apple Watch,2023-03-10 23:06:00 +0000,2023-03-11 00:25:03 +0000,Pickleball,3323.831235,sec,55.39718725,min,474.155 kcal,6400 %,0,55.616 degF,America/Los_Angeles,7.24121 kcal/hr·kg
Susan’s Apple Watch,2023-03-11 22:35:52 +0000,2023-03-11 23:15:53 +0000,Pickleball,1153.807888,sec,19.23013147,min,137.675 kcal,7900 %,0,61.196 degF,America/Los_Angeles,4.62663 kcal/hr·kg
Susan’s Apple Watch,2023-03-12 04:57:12 +0000,2023-03-12 05:46:31 +0000,Pickleball,2958.885511,sec,49.31475852,min,325.857 kcal,8800 %,0,54.986 degF,America/Los_Angeles,6.98973 kcal/hr·kg
Susan’s Apple Watch,2023-03-16 02:11:30 +0000,2023-03-16 04:34:05 +0000,Pickleball,6653.887887,sec,110.8981315,min,881.247 kcal,6800 %,0,54.428 degF,America/Los_Angeles,7.76758 kcal/hr·kg
Susan’s Apple Watch,2023-03-17 02:25:26 +0000,2023-03-17 04:54:07 +0000,Pickleball,6608.773222,sec,110.1462204,min,741.806 kcal,,0,,America/Los_Angeles,6.51997 kcal/hr·kg
Susan’s Apple Watch,2023-03-18 02:28:38 +0000,2023-03-18 05:00:22 +0000,Pickleball,6593.413021,sec,109.890217,min,775.403 kcal,7100 %,0,57.722 degF,America/Los_Angeles,7.50542 kcal/hr·kg
Susan’s Apple Watch,2023-03-18 22:31:11 +0000,2023-03-19 01:55:40 +0000,Pickleball,8009.920193,sec,133.4986699,min,993.032 kcal,5500 %,0,66.002 degF,America/Los_Angeles,7.04076 kcal/hr·kg
Susan’s Apple Watch,2023-03-21 01:25:56 +0000,2023-03-21 02:38:55 +0000,Pickleball,4274.593181,sec,71.24321968,min,494.683 kcal,6400 %,0,51.134 degF,America/Los_Angeles,7.3822 kcal/hr·kg
Susan’s Apple Watch,2023-03-25 02:02:52 +0000,2023-03-25 04:45:59 +0000,Pickleball,8792.535296,sec,146.5422549,min,1185.3 kcal,6600 %,0,50.954 degF,America/Los_Angeles,7.95427 kcal/hr·kg
Susan’s Apple Watch,2023-03-25 21:48:20 +0000,2023-03-25 23:50:21 +0000,Pickleball,5822.635595,sec,97.04392658,min,641.354 kcal,4300 %,0,56.93 degF,America/Los_Angeles,5.90115 kcal/hr·kg
Susan’s Apple Watch,2023-04-01 02:18:58 +0000,2023-04-01 05:00:15 +0000,Pickleball,7942.94519,sec,132.3824198,min,1058.12 kcal,6800 %,0,51.548 degF,America/Los_Angeles,8.17042 kcal/hr·kg
Susan’s Apple Watch,2023-04-02 21:25:13 +0000,2023-04-02 23:15:23 +0000,Pickleball,5697.987177,sec,94.96645295,min,776.397 kcal,5500 %,0,58.388 degF,America/Los_Angeles,8.13429 kcal/hr·kg
Susan’s Apple Watch,2023-04-08 02:06:41 +0000,2023-04-08 04:57:12 +0000,Pickleball,8017.258107,sec,133.6209685,min,961.923 kcal,7900 %,0,56.084 degF,America/Los_Angeles,6.4224 kcal/hr·kg
Susan’s Apple Watch,2023-04-08 22:03:23 +0000,2023-04-09 00:14:38 +0000,Pickleball,7210.432161,sec,120.1738694,min,806.085 kcal,5800 %,0,64.112 degF,America/Los_Angeles,6.89943 kcal/hr·kg
Susan’s Apple Watch,2023-04-12 02:40:18 +0000,2023-04-12 04:19:54 +0000,Pickleball,5975.76137,sec,99.59602283,min,518.696 kcal,6600 %,0,53.348 degF,America/Los_Angeles,5.53234 kcal/hr·kg
Susan’s Apple Watch,2023-04-15 02:27:16 +0000,2023-04-15 04:59:01 +0000,Pickleball,8713.97807,sec,145.2329678,min,897.233 kcal,6800 %,0,53.222 degF,America/Los_Angeles,6.6365 kcal/hr·kg
Susan’s Apple Watch,2023-04-22 02:06:19 +0000,2023-04-22 04:59:44 +0000,Pickleball,7924.198358,sec,132.0699726,min,1017.61 kcal,5300 %,0,68.504 degF,America/Los_Angeles,7.0003 kcal/hr·kg
Susan’s Apple Watch,2023-04-29 02:10:02 +0000,2023-04-29 05:04:48 +0000,Pickleball,8957.083782,sec,149.2847297,min,1152.57 kcal,6500 %,0,64.526 degF,America/Los_Angeles,7.44579 kcal/hr·kg
Susan’s Apple Watch,2023-05-07 03:39:24 +0000,2023-05-07 05:09:31 +0000,Pickleball,5406.953836,sec,90.11589727,min,764.425 kcal,7700 %,0,53.996 degF,America/Los_Angeles,8.78229 kcal/hr·kg
Susan’s Apple Watch,2023-05-11 01:05:59 +0000,2023-05-11 02:18:03 +0000,Pickleball,3181.211164,sec,53.02018607,min,414.49 kcal,6700 %,0,56.966 degF,America/Los_Angeles,7.76744 kcal/hr·kg
Susan’s Apple Watch,2023-05-13 01:52:25 +0000,2023-05-13 04:51:24 +0000,Pickleball,8016.989367,sec,133.6164895,min,972.398 kcal,6100 %,0,65.966 degF,America/Los_Angeles,6.30152 kcal/hr·kg
Susan’s Apple Watch,2023-05-13 21:47:57 +0000,2023-05-13 23:11:49 +0000,Pickleball,3060.219072,sec,51.0036512,min,339.788 kcal,4400 %,0,82.976 degF,America/Los_Angeles,5.77314 kcal/hr·kg
Susan’s Apple Watch,2023-05-23 02:01:08 +0000,2023-05-23 04:15:03 +0000,Pickleball,6686.604623,sec,111.4434104,min,952.077 kcal,6000 %,0,66.722 degF,America/Los_Angeles,8.20377 kcal/hr·kg
Susan’s Apple Watch,2023-05-27 01:21:13 +0000,2023-05-27 04:05:03 +0000,Pickleball,8105.564331,sec,135.0927389,min,961.578 kcal,6500 %,0,62.258 degF,America/Los_Angeles,6.81221 kcal/hr·kg
Susan’s Apple Watch,2023-05-27 23:27:05 +0000,2023-05-28 05:01:04 +0000,Pickleball,11231.40579,sec,187.1900964,min,1376.88 kcal,5700 %,0,68.018 degF,America/Los_Angeles,7.41331 kcal/hr·kg
Susan’s Apple Watch,2023-05-30 00:40:05 +0000,2023-05-30 02:29:42 +0000,Pickleball,5275.383092,sec,87.92305154,min,626.611 kcal,6100 %,0,64.418 degF,America/Los_Angeles,7.1989 kcal/hr·kg
Susan’s Apple Watch,2023-06-02 02:27:00 +0000,2023-06-02 05:00:15 +0000,Pickleball,6983.396598,sec,116.3899433,min,916.43 kcal,6400 %,0,60.458 degF,America/Los_Angeles,7.51791 kcal/hr·kg
Susan’s Apple Watch,2023-06-03 02:03:06 +0000,2023-06-03 04:56:13 +0000,Pickleball,9485.071552,sec,158.0845259,min,1075.92 kcal,5700 %,0,65.318 degF,America/Los_Angeles,6.91441 kcal/hr·kg
Susan’s Apple Watch,2023-06-04 01:15:23 +0000,2023-06-04 04:47:37 +0000,Pickleball,9833.170021,sec,163.886167,min,927.32 kcal,5000 %,0,71.15 degF,America/Los_Angeles,5.25033 kcal/hr·kg
Susan’s Apple Watch,2023-06-07 01:54:26 +0000,2023-06-07 03:35:14 +0000,Pickleball,4651.538676,sec,77.5256446,min,498.345 kcal,7100 %,0,64.004 degF,America/Los_Angeles,6.20808 kcal/hr·kg
Susan’s Apple Watch,2023-06-08 01:41:39 +0000,2023-06-08 04:29:31 +0000,Pickleball,9395.259634,sec,156.5876606,min,925.791 kcal,6200 %,0,66.92 degF,America/Los_Angeles,6.11371 kcal/hr·kg
Susan’s Apple Watch,2023-06-09 02:25:51 +0000,2023-06-09 04:23:18 +0000,Pickleball,6417.924607,sec,106.9654101,min,701.233 kcal,6700 %,0,65.012 degF,America/Los_Angeles,6.63921 kcal/hr·kg
Susan’s Apple Watch,2023-06-09 04:28:42 +0000,2023-06-09 04:51:35 +0000,Pickleball,1313.812649,sec,21.89687748,min,105.119 kcal,8100 %,0,58.838 degF,America/Los_Angeles,4.97829 kcal/hr·kg
Susan’s Apple Watch,2023-06-11 01:32:34 +0000,2023-06-11 04:50:28 +0000,Pickleball,11630.47958,sec,193.8413263,min,1085.56 kcal,6900 %,0,63.356 degF,America/Los_Angeles,5.47912 kcal/hr·kg
Susan’s Apple Watch,2023-06-12 01:07:12 +0000,2023-06-12 02:09:01 +0000,Pickleball,2586.66934,sec,43.11115566,min,347.084 kcal,6200 %,0,69.17 degF,America/Los_Angeles,7.84374 kcal/hr·kg
Susan’s Apple Watch,2023-06-12 03:41:34 +0000,2023-06-12 04:42:50 +0000,Pickleball,2684.207028,sec,44.7367838,min,373.274 kcal,7500 %,0,60.494 degF,America/Los_Angeles,6.78364 kcal/hr·kg
Susan’s Apple Watch,2023-06-15 01:50:28 +0000,2023-06-15 04:41:38 +0000,Pickleball,7899.11155,sec,131.6518592,min,916.753 kcal,6500 %,0,67.28 degF,America/Los_Angeles,6.68371 kcal/hr·kg
Susan’s Apple Watch,2023-06-16 02:16:17 +0000,2023-06-16 05:01:16 +0000,Pickleball,8620.39825,sec,143.6733042,min,900.014 kcal,6500 %,0,66.38 degF,America/Los_Angeles,5.7625 kcal/hr·kg
Susan’s Apple Watch,2023-06-17 02:15:30 +0000,2023-06-17 04:59:59 +0000,Pickleball,7535.384047,sec,125.5897341,min,920.203 kcal,6500 %,0,68.018 degF,America/Los_Angeles,6.76934 kcal/hr·kg
